Time,Protocol,Length,Anomaly
55.102752,2,149,-1
55.110338,2,111,-1
55.940258,2,112,-1
60.748971,2,71,-1
60.752277,2,243,-1
61.700146,2,70,-1
61.703136,2,242,-1
62.575617,2,83,-1
62.579265,2,315,-1
62.669423,0,42,-1
62.669423,0,42,-1
62.669423,0,42,-1
62.730237,2,73,-1
62.733482,2,105,-1
62.990368,2,76,-1
62.993864,2,143,-1
63.115731,2,108,-1
63.497331,2,81,-1
63.50061,2,167,-1
63.552086,2,83,-1
63.554959,2,164,-1
63.695235,0,42,-1
63.695235,0,42,-1
64.518882,2,70,-1
64.583047,2,70,-1
64.647886,2,237,-1
64.719155,0,42,-1
64.719155,0,42,-1
66.664704,0,42,-1
66.664704,0,42,-1
67.688615,0,42,-1
67.688615,0,42,-1
68.713295,0,42,-1
68.713295,0,42,-1
74.754232,0,42,-1
75.212759,2,90,-1
75.215639,2,214,-1
75.677454,0,42,-1
76.699313,0,42,-1
78.098798,2,80,-1
78.102266,2,126,-1
79.892077,2,75,-1
79.895277,2,122,-1
80.37955,2,99,-1
80.429651,2,119,-1
80.464694,2,95,-1
80.467659,2,159,-1
80.475223,2,90,-1
80.477666,2,282,-1
80.766166,2,78,-1
80.769176,2,254,-1
81.330266,2,78,-1
81.336003,2,110,-1
82.741774,0,42,-1
82.866774,2,79,-1
82.86955,2,95,-1
83.664484,0,42,-1
83.993378,2,75,-1
83.996637,2,91,-1
84.38774,2,85,-1
84.391151,2,151,-1
84.68573,0,42,-1
84.909859,2,80,-1
84.912845,2,127,-1
85.634559,0,42,-1
85.957565,0,42,-1
86.181383,0,42,-1
86.181445,0,42,-1
86.670191,2,76,-1
86.670634,2,76,-1
86.673736,2,182,-1
86.673961,2,129,-1
90.885069,2,75,-1
90.888573,2,91,-1
94.723198,0,42,-1
94.723198,0,42,-1
94.763766,2,75,-1
94.766948,2,304,-1
95.747468,0,42,-1
95.747468,0,42,-1
96.148533,2,76,-1
96.152788,2,86,-1
96.173504,2,79,-1
96.180385,2,129,-1
96.21206,2,76,-1
96.227602,2,86,-1
96.235934,2,183,-1
96.241396,2,78,-1
96.293909,2,150,-1
96.314258,2,78,-1
96.401461,2,80,-1
96.47609,2,80,-1
96.576017,2,193,-1
96.669061,0,42,-1
96.669061,0,42,-1
96.669061,0,42,-1
96.721221,2,190,-1
97.691107,0,42,-1
98.168468,2,80,-1
98.235644,2,80,-1
98.321565,2,142,-1
98.718084,0,42,-1
98.718084,0,42,-1
98.718084,0,42,-1
99.739905,0,42,-1
99.739905,0,42,-1
100.662303,0,42,-1
100.662303,0,42,-1
101.650447,2,75,-1
101.653561,2,91,-1
101.665388,2,71,-1
101.668133,2,263,-1
101.674058,2,77,-1
101.676251,2,93,-1
101.676693,2,97,-1
101.680017,2,162,-1
101.796276,2,82,-1
101.797266,2,78,-1
101.797656,2,73,-1
101.798054,2,72,-1
101.798412,2,72,-1
101.798532,2,72,-1
101.79955,2,85,-1
101.803508,2,98,-1
101.803825,2,167,-1
101.803991,2,222,-1
101.805164,2,88,-1
101.805164,2,149,-1
101.805164,2,194,-1
101.805164,2,149,-1
101.891635,2,73,-1
101.894771,2,233,-1
102.624594,2,76,-1
102.62907,2,92,-1
110.569443,2,78,-1
110.632595,2,78,-1
110.708033,2,130,-1
114.40384,2,86,-1
114.406947,2,180,-1
114.436676,2,77,-1
114.448338,2,190,-1
114.691209,0,42,-1
115.367059,2,77,-1
115.369645,2,123,-1
115.716237,0,42,-1
116.61648,2,76,-1
116.619848,2,272,-1
116.69855,2,86,-1
116.705409,2,193,-1
116.724523,2,76,-1
116.72795,2,131,-1
116.739301,0,42,-1
116.739301,0,42,-1
116.759696,2,68,-1
116.762887,2,116,-1
116.862798,2,75,-1
116.865798,2,91,-1
116.940434,2,76,-1
116.943557,2,143,-1
116.990256,2,112,-1
117.343866,2,80,-1
117.346679,2,135,-1
117.475406,2,77,-1
117.475406,2,77,-1
117.485732,2,105,-1
117.485732,2,93,-1
117.578371,2,77,-1
117.582381,2,93,-1
117.608414,2,70,-1
117.611013,2,162,-1
117.612719,2,94,-1
117.615784,2,110,-1
117.679837,2,72,-1
117.68362,2,342,-1
118.02561,2,91,-1
118.02875,2,267,-1
118.789971,2,84,-1
118.79303,2,149,-1
120.715502,2,84,-1
120.71984,2,149,-1
122.732759,2,71,-1
122.739178,2,103,-1
125.360209,2,68,-1
125.363468,2,116,-1
126.342645,2,80,-1
126.342651,2,78,-1
126.35406,2,96,-1
126.35406,2,94,-1
126.672741,0,42,-1
126.672741,0,42,-1
127.198699,2,80,-1
127.203187,2,409,-1
127.696657,0,42,-1
127.696657,0,42,-1
127.855353,2,77,-1
127.868158,2,93,-1
128.041286,2,97,-1
128.043579,2,162,-1
128.157462,2,76,-1
128.157462,2,81,-1
128.15855,2,76,-1
128.158559,2,73,-1
128.159607,2,72,-1
128.159693,2,69,-1
128.164046,2,140,-1
128.164046,2,213,-1
128.165019,2,173,-1
128.165277,2,105,-1
128.165824,2,241,-1
128.173482,2,85,-1
128.293746,2,214,-1
128.719434,0,42,-1
128.719434,0,42,-1
128.991474,2,76,-1
128.995326,2,143,-1
129.042259,2,108,-1
129.74573,0,42,-1
130.664212,0,42,-1
130.664757,0,42,-1
130.664757,0,42,-1
131.281778,2,78,-1
131.284716,2,94,-1
131.587648,0,42,-1
132.655558,0,42,-1
132.655558,0,42,-1
135.763234,2,83,-1
135.770067,2,235,-1
135.891083,5,342,-1
136.093197,5,451,-1
136.107978,5,336,-1
136.298252,5,451,-1
136.315368,5,336,-1
136.41859,5,451,-1
138.330265,2,84,-1
138.334492,2,100,-1
138.500981,2,76,-1
138.505416,2,92,-1
146.742839,0,42,-1
147.65338,0,42,-1
148.135584,0,42,-1
148.486414,0,42,-1
148.68716,0,42,-1
148.905233,0,42,-1
148.905268,0,42,-1
154.77778,2,75,-1
154.782801,2,304,-1
155.142316,2,80,-1
155.145186,2,126,-1
158.653686,0,42,-1
159.260158,2,90,-1
159.263664,2,106,-1
159.653593,0,42,-1
159.65515,0,42,-1
160.671168,0,42,-1
160.671168,0,42,-1
162.656305,0,42,-1
162.656305,0,42,-1
164.654345,0,42,-1
164.654345,0,42,-1
165.820332,2,76,-1
165.883181,2,76,-1
165.905048,2,187,-1
165.978493,2,80,-1
165.981434,2,126,-1
166.721669,2,75,-1
166.79119,2,75,-1
166.860278,2,182,-1
171.963077,2,78,-1
172.032265,2,78,-1
172.131164,2,130,-1
178.691258,0,42,-1
179.715279,0,42,-1
180.739073,0,42,-1
184.605808,2,85,-1
184.609136,2,153,-1
184.612249,2,85,-1
184.613873,2,83,-1
184.615376,2,172,-1
184.617074,2,202,-1
184.958934,2,90,-1
184.958934,2,88,-1
184.961538,2,81,-1
184.961897,2,104,-1
184.962281,2,83,-1
184.962355,2,106,-1
184.962774,2,81,-1
184.965262,2,168,-1
184.965473,2,193,-1
184.965575,2,202,-1
185.547977,2,87,-1
185.551233,2,103,-1
185.724948,4,356,-1
